source_id,path,exists,role,generated_utc
402_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\402-EH-source-normalization-parent-pair.md,true,EH/source-normalization parent pair,2026-06-09T22:24:30+00:00
424_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\424-same-frame-EH-source-Poisson-reduction-gate.md,true,same-frame EH-source Poisson gate,2026-06-09T22:24:30+00:00
429_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\429-Ward-Bianchi-exchange-owner-for-Poisson-source.md,true,Ward/Bianchi source residual owner,2026-06-09T22:24:30+00:00
440_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\440-metric-only-second-order-sector-reduction-attempt.md,true,metric-only second-order sector reduction attempt,2026-06-09T22:24:30+00:00
523_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\523-Y5-Gauss-orbital-calibration-or-source-normalization-residual-score.md,true,Gauss/orbital source-normalization scorecard,2026-06-09T22:24:30+00:00
652_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\652-Y5-R10-WEP-source-normalization-or-common-geometry-zero-theorem.md,true,common-geometry/WEP source normalization,2026-06-09T22:24:30+00:00
653_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\653-Y5-R10-parent-matter-functor-signature-or-WEP-closure-demotion.md,true,parent matter functor signature predecessor,2026-06-09T22:24:30+00:00
655_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\655-Y5-R10-EH-operator-selection-under-WEP-closure-or-retained-R11-vector.md,true,EH operator selection and R11 fallback,2026-06-09T22:24:30+00:00
657_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\657-Y5-R10-source-normalization-family-first-real-R11-fill.md,true,source-normalization family and channel vector,2026-06-09T22:24:30+00:00
696_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\696-Y5-R10-MHref-same-frame-denominator-or-BTF-product-bound-guard.md,true,M_H_ref/G_ref circularity guard,2026-06-09T22:24:30+00:00
703_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\703-Y5-R10-parent-action-coupling-lock-or-Rsrc-channel-zero-theorem.md,true,parent-action coupling lock predecessor,2026-06-09T22:24:30+00:00
704_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\704-Y5-R10-EH-prefactor-constant-theorem-or-kappa-gradient-bound.md,true,EH prefactor predecessor,2026-06-09T22:24:30+00:00
704_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_704_VALIDATION.csv,true,704 validation gate,2026-06-09T22:24:30+00:00
704_prefactor,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_704_EH_PREFACTOR_FORMALIZATION.csv,true,704 A_EH formalization,2026-06-09T22:24:30+00:00
704_constant,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_704_CONSTANT_THEOREM_AUDIT.csv,true,704 constant theorem audit,2026-06-09T22:24:30+00:00
704_gradient,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_704_KAPPA_GRADIENT_BOUND_PACK.csv,true,704 kappa-gradient bound pack,2026-06-09T22:24:30+00:00
704_delta,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_704_DELTA_POISSON_UPDATE.csv,true,704 Delta_Poisson update,2026-06-09T22:24:30+00:00
703_parent_lock,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_703_PARENT_ACTION_COUPLING_LOCK_AUDIT.csv,true,703 parent-action coupling lock audit,2026-06-09T22:24:30+00:00
703_variation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_703_ACTION_VARIATION_CONTRACT.csv,true,703 action variation contract,2026-06-09T22:24:30+00:00
702_rsrc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_702_RSRC_CHANNEL_DECOMPOSITION.csv,true,702 R_src channel decomposition,2026-06-09T22:24:30+00:00
source_norm_scorecard,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_SOURCE_NORMALIZATION_RESIDUAL_SCORECARD.csv,true,source-normalization residual scorecard,2026-06-09T22:24:30+00:00
657_channels,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_657_CMU_EIGHT_CHANNEL_VECTOR.csv,true,eight source-normalization residual channels,2026-06-09T22:24:30+00:00
