source_id,source_path,exists,role,generated_utc
210_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\210-GK-alphaK-parent-invariant-or-fixed-closure.md,true,G_K candidate invariant and parent metric missing source,2026-06-07T11:11:07+00:00
211_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\211-GK-parent-metric-Ward-identity-attempt.md,true,partial flow-block parent metric and Ward identity failure source,2026-06-07T11:11:07+00:00
222_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\222-parent-X-sector-degree-count-and-boundary-action.md,true,X boundary momentum action source,2026-06-07T11:11:07+00:00
223_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\223-X-constraint-algebra-and-Khat-Gamma-constitutive-owner.md,true,P constitutive owner contract source,2026-06-07T11:11:07+00:00
235_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\235-projector-stress-variation-or-nohair-constraint-algebra.md,true,projector stress/nohair source,2026-06-07T11:11:07+00:00
667_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_667_VALIDATION.csv,true,667 validation gate,2026-06-07T11:11:07+00:00
667_variation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_667_VARIATION_LEDGER.csv,true,boundary flux and Hamiltonian variation ledger,2026-06-07T11:11:07+00:00
668_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_668_VALIDATION.csv,true,668 validation gate,2026-06-07T11:11:07+00:00
668_boundary_lock,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_668_BOUNDARY_CONDITION_LOCK.csv,true,boundary/projector lock rows,2026-06-07T11:11:07+00:00
671_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_671_VALIDATION.csv,true,671 validation gate,2026-06-07T11:11:07+00:00
671_edge,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_671_EDGE_RESIDUAL_VECTOR.csv,true,edge residual vector,2026-06-07T11:11:07+00:00
673_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_673_VALIDATION.csv,true,673 validation gate,2026-06-07T11:11:07+00:00
